"Binomial","meanCvalue","Order","AdultBodyMass_g","DietBreadth","HabitatBreadth","LitterSize","GroundDwelling","TrophicLevel"
"Acinonyx jubatus",2.56,"Carnivora",50500,1,1,2.99,"Yes","Carnivore"
"Acomys cahirinus",2.64,"Rodentia",41.2,NA,NA,2.43,NA,NA
"Aconaemys fuscus",3.75,"Rodentia",130,2,2,3.07,"Yes","Herbivore"
"Aconaemys sagei",3.7,"Rodentia",96.5,NA,2,NA,"Yes",NA
"Addax nasomaculatus",3.98,"Artiodactyla",94700,5,1,1,"Yes","Herbivore"
"Aepyceros melampus",4.69,"Artiodactyla",52300,2,1,1,"Yes","Herbivore"
"Aethalops alecto",2.15,"Chiroptera",15,NA,1,0.99,"No",NA
"Akodon azarae",2.43,"Rodentia",25.3,4,2,4.59,"Yes","Omnivore"
"Akodon dolores",2.73,"Rodentia",50.5,NA,NA,3.9,NA,NA
"Akodon molinae",2.92,"Rodentia",33,NA,1,3.77,"Yes",NA
"Akodon mollis",2.77,"Rodentia",30.4,NA,NA,NA,NA,NA
"Akodon olivaceus",3.05,"Rodentia",26.9,7,3,5.4,"No","Omnivore"
"Akodon xanthorhinus",3.16,"Rodentia",19,3,1,5.1,"Yes","Omnivore"
"Allenopithecus nigroviridis",5.19,"Primates",4750,NA,NA,1.01,NA,NA
"Alouatta caraya",3.84,"Primates",5590,3,NA,1.01,NA,"Herbivore"
"Alouatta palliata",3.63,"Primates",6580,2,1,1.01,"No","Herbivore"
"Alouatta pigra",3.63,"Primates",7200,2,1,1.01,"No","Herbivore"
"Anoura caudifera",2.73,"Chiroptera",10.7,3,1,1,"No","Omnivore"
"Anoura geoffroyi",2.64,"Chiroptera",15,3,1,0.99,"No","Omnivore"
"Anourosorex squamipes",2.37,"Insectivora",20,NA,2,2.8,"Yes",NA
"Apodemus agrarius",3.11,"Rodentia",21.1,NA,NA,5.49,NA,NA
"Apodemus flavicollis",3.24,"Rodentia",31.6,NA,NA,5.49,NA,NA
"Apodemus sylvaticus",3.35,"Rodentia",21.9,4,2,5.1,"No","Omnivore"
"Artibeus glaucus",2.58,"Chiroptera",11.2,1,1,1,"No","Herbivore"
"Artibeus jamaicensis",2.64333333333333,"Chiroptera",41.6,4,1,0.98,"No","Omnivore"
"Artibeus lituratus",2.7,"Chiroptera",59.3,1,1,0.98,"No","Herbivore"
"Arvicola terrestris",2.91,"Rodentia",120,NA,NA,4.89,NA,NA
"Ateles belzebuth",3.63,"Primates",6720,2,1,1.02,"No","Herbivore"
"Ateles geoffroyi",3.25,"Primates",7610,2,1,1,"No","Herbivore"
"Ateles paniscus",3.47,"Primates",8710,6,1,1,"No","Omnivore"
"Barbastella barbastellus",2.2,"Chiroptera",8.25,1,1,2,"No","Carnivore"
"Bathyergus suillus",2.9,"Rodentia",830,3,2,2.39,"Yes","Herbivore"
"Bison bison",4.9,"Artiodactyla",620000,2,2,1,"Yes","Herbivore"
"Bolomys obscurus",2.99,"Rodentia",40.7,3,3,5.41,"Yes","Omnivore"
"Bos javanicus",3.75,"Artiodactyla",627000,2,1,1.22,"Yes","Herbivore"
"Bos taurus",3.61666666666667,"Artiodactyla",613000,NA,NA,NA,NA,NA
"Bradypus variegatus",4.23,"Xenarthra",3860,1,1,0.92,"No","Herbivore"
"Cabassous centralis",3.98,"Xenarthra",3810,1,2,0.92,"Yes","Carnivore"
"Callicebus cupreus",2.3,"Primates",1120,NA,1,1.01,"No",NA
"Callicebus torquatus",2.26,"Primates",1220,4,1,1.02,"No","Omnivore"
"Callithrix jacchus",3.43,"Primates",291,5,1,2.14,"No","Omnivore"
"Calomys callosus",2.8,"Rodentia",45.7,NA,2,5.39,"Yes",NA
"Calomys hummelincki",3.36,"Rodentia",27,NA,1,NA,"Yes",NA
"Calomys laucha",3.185,"Rodentia",14,3,2,5.49,"No","Omnivore"
"Calomys musculinus",3.1,"Rodentia",20.2,3,1,7.29,"Yes","Omnivore"
"Calomyscus mystax",3.11,"Rodentia",NA,NA,NA,5,NA,NA
"Camelus bactrianus",2.635,"Artiodactyla",547000,2,1,1,"Yes","Herbivore"
"Camelus dromedarius",2.795,"Artiodactyla",488000,3,1,1,"Yes","Herbivore"
"Canis latrans",2.82,"Carnivora",12000,1,1,5.69,"Yes","Carnivore"
"Canis lupus",2.81,"Carnivora",35000,1,1,4.97,"Yes","Carnivore"
"Canis rufus",3.04,"Carnivora",26700,1,1,5.24,"Yes","Carnivore"
"Capra falconeri",3.23,"Artiodactyla",53600,2,1,1.73,"Yes","Herbivore"
"Capra hircus",3.24,"Artiodactyla",46900,2,NA,1.5,NA,"Herbivore"
"Carollia brevicauda",2.955,"Chiroptera",14.7,1,1,0.98,"No","Herbivore"
"Carollia perspicillata",2.88333333333333,"Chiroptera",19.1,3,1,1,"No","Omnivore"
"Cavia porcellus",3.835,"Rodentia",728,NA,1,3.98,"Yes",NA
"Cavia tschudii",4.55,"Rodentia",1000,NA,2,1.9,"Yes",NA
"Cebus albifrons",3.98,"Primates",2520,5,2,1,"No","Omnivore"
"Cebus apella",3.7,"Primates",2760,6,2,1,"No","Omnivore"
"Cebus capucinus",3.84,"Primates",3010,4,2,1,"No","Omnivore"
"Cebus olivaceus",3.4,"Primates",2800,4,2,1.01,"No","Omnivore"
